grade,skill_id,official_code,main_unit,subunit,skill_name,difficulty
G6,G06-S-MAPSCALE-01,S-6-2,比例幾何,比例尺,比例尺表示,3
G6,G06-S-MAPSCALE-02,S-6-2,比例幾何,比例尺,比例尺應用,4
G6,G06-S-PI-01,S-6-3,圓與扇形,圓周長,圓周率,2
G6,G06-S-CIRC-01,S-6-3,圓與扇形,圓周長,圓周長,3
G6,G06-S-ARC-01,S-6-3,圓與扇形,扇形周長,扇形弧長與周長,4
G6,G06-S-CIRCLEAREA-01,S-6-3,圓與扇形,圓面積,圓面積,3
G6,G06-S-SECTORAREA-01,S-6-3,圓與扇形,扇形面積,扇形面積,4
G6,G06-S-COMPOSITE-AREA-01,S-6-3,圓與扇形,複合圖形,圓與扇形複合面積,5
G6,G06-S-PRISM-VOL-01,S-6-4,柱體,柱體體積,角柱與圓柱體積,3
G6,G06-S-PRISM-VOL-02,S-6-4,柱體,柱體體積,複合柱體體積,5
G6,G06-S-PRISM-SURF-01,S-6-4,柱體,柱體表面積,角柱與圓柱表面積,4
G6,G06-D-PIE-01,D-6-1,資料,圓形圖,報讀圓形圖,2
G6,G06-D-PIE-02,D-6-1,資料,圓形圖,製作圓形圖,3
G6,G06-D-PIE-03,D-6-1,資料,統計圖應用,選圖與比較,4
G6,G06-D-PROB-01,D-6-2,資料,可能性,可能性判讀,3
